match_hash,seen_utc,market_family,subject,line,selection,odds,enabled,is_opening
M-5660fdfdf4,2026-09-12T07:56:01Z,player_ou,A.Zverev,12.5,over,1.43,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,player_ou,A.Zverev,12.5,under,2.59,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,player_ou,A.Zverev,13.5,over,1.61,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,player_ou,A.Zverev,13.5,under,2.17,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,player_ou,A.Zverev,14.5,over,1.86,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,player_ou,A.Zverev,14.5,under,1.86,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,player_ou,A.Zverev,15.5,over,2.15,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,player_ou,A.Zverev,15.5,under,1.63,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,player_ou,A.Zverev,16.5,over,2.52,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,player_ou,A.Zverev,16.5,under,1.45,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,player_ou,B.Shelton,13.5,over,1.45,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,player_ou,B.Shelton,13.5,under,2.52,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,player_ou,B.Shelton,14.5,over,1.63,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,player_ou,B.Shelton,14.5,under,2.14,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,player_ou,B.Shelton,15.5,over,1.86,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,player_ou,B.Shelton,15.5,under,1.86,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,player_ou,B.Shelton,16.5,over,2.13,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,player_ou,B.Shelton,16.5,under,1.64,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,player_ou,B.Shelton,17.5,over,2.47,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,player_ou,B.Shelton,17.5,under,1.47,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,player_ou,B.Shelton,18.5,over,2.91,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,player_ou,B.Shelton,18.5,under,1.35,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,total_ou,,25.5,over,1.36,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,total_ou,,25.5,under,2.87,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,total_ou,,26.5,over,1.44,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,total_ou,,26.5,under,2.57,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,total_ou,,27.5,over,1.53,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,total_ou,,27.5,under,2.33,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,total_ou,,28.5,over,1.64,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,total_ou,,28.5,under,2.12,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,total_ou,,29.5,over,1.77,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,total_ou,,29.5,under,1.96,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,total_ou,,30.5,over,1.91,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,total_ou,,30.5,under,1.81,1,1
M-5660fdfdf4,2026-09-12T07:56:01Z,total_ou,,31.5,over,2.06,1,1
