match_hash,tier,gender,match_type,tournament,scheduled_utc,opening_odds_side1,opening_odds_side2,opening_utc,closing_odds_side1,closing_odds_side2,closing_utc,side1_move_pct
M-83a866b1d0,ATP,male,singles,ATP Biella - antuka,2026-09-14T08:00:00+00:00,1.48,2.38,2026-09-13T14:03:03Z,1.48,2.38,2026-09-13T14:06:04Z,0.0
M-55efacef67,ATP,male,singles,ATP Guangzhou - tvrdý p.,2026-09-14T02:00:00+00:00,2.54,1.42,2026-09-13T13:58:01Z,2.54,1.42,2026-09-13T14:06:04Z,0.0
M-b627d120b2,ATP,male,singles,ATP Štetín - antuka,2026-09-14T08:30:00+00:00,1.71,1.99,2026-09-13T13:54:59Z,1.86,1.82,2026-09-13T14:06:04Z,8.77
M-0550ced4b0,ATP,male,singles,ATP Štetín - antuka,2026-09-14T08:30:00+00:00,1.7,2.0,2026-09-13T13:54:59Z,1.7,2.0,2026-09-13T14:06:04Z,0.0
M-b81a4d7544,ATP,male,singles,ATP Guangzhou - tvrdý p.,2026-09-14T02:00:00+00:00,1.84,1.84,2026-09-13T13:38:51Z,1.84,1.84,2026-09-13T14:06:04Z,0.0
M-d388374429,ATP,male,singles,ATP Biella - antuka,2026-09-14T08:00:00+00:00,1.42,2.54,2026-09-13T13:32:47Z,1.42,2.54,2026-09-13T14:06:04Z,0.0
M-4f3a94e9ff,ATP,male,singles,ATP Rennes - tvrdý p.,2026-09-14T08:00:00+00:00,1.62,2.12,2026-09-13T13:29:46Z,1.78,1.9,2026-09-13T14:06:04Z,9.88
M-28871d21fe,ATP,male,doubles,"ATP Tiburon - tvrdý p., 4hra",2026-09-15T17:00:00+00:00,2.38,1.48,2026-09-13T12:07:38Z,2.38,1.48,2026-09-13T14:06:04Z,0.0
M-03680b4d23,ATP,male,doubles,"ATP Tiburon - tvrdý p., 4hra",2026-09-15T17:00:00+00:00,1.36,2.74,2026-09-13T12:07:38Z,1.37,2.7,2026-09-13T14:06:04Z,0.74
M-3abac90720,ATP,male,doubles,"ATP Tiburon - tvrdý p., 4hra",2026-09-15T17:00:00+00:00,1.55,2.24,2026-09-13T12:07:38Z,1.55,2.24,2026-09-13T14:06:04Z,0.0
M-e5ff497366,ATP,male,doubles,"ATP Tiburon - tvrdý p., 4hra",2026-09-15T17:00:00+00:00,1.42,2.54,2026-09-13T12:07:38Z,1.35,2.78,2026-09-13T14:06:04Z,-4.93
M-78a2fbc352,ATP,male,doubles,"ATP Tiburon - tvrdý p., 4hra",2026-09-15T17:00:00+00:00,1.27,3.2,2026-09-13T12:07:38Z,1.27,3.2,2026-09-13T14:06:04Z,0.0
M-675d9f5121,ATP,male,doubles,"ATP Tiburon - tvrdý p., 4hra",2026-09-15T17:00:00+00:00,2.67,1.38,2026-09-13T12:07:38Z,2.56,1.41,2026-09-13T14:06:04Z,-4.12
M-0e51e0bba8,ATP,male,doubles,"ATP Tiburon - tvrdý p., 4hra",2026-09-15T17:00:00+00:00,3.02,1.3,2026-09-13T12:07:38Z,3.29,1.26,2026-09-13T14:06:04Z,8.94
M-63151ea427,ATP,male,doubles,"ATP Štětín - antuka, 4hra",2026-09-15T08:00:00+00:00,2.16,1.6,2026-09-13T12:04:37Z,2.34,1.5,2026-09-13T14:06:04Z,8.33
M-9e1dd343dd,ATP,male,doubles,"ATP Štětín - antuka, 4hra",2026-09-15T08:00:00+00:00,1.64,2.09,2026-09-13T12:04:37Z,1.7,2.0,2026-09-13T14:06:04Z,3.66
M-08f96a642a,ATP,male,doubles,"ATP Štětín - antuka, 4hra",2026-09-15T08:00:00+00:00,5.86,1.08,2026-09-13T12:04:37Z,5.86,1.08,2026-09-13T14:06:04Z,0.0
M-54879985ed,ATP,male,doubles,"ATP Štětín - antuka, 4hra",2026-09-15T08:00:00+00:00,5.86,1.08,2026-09-13T12:04:37Z,6.71,1.06,2026-09-13T14:06:04Z,14.51
M-0f5f4ad1b7,ATP,male,doubles,"ATP Štětín - antuka, 4hra",2026-09-15T08:00:00+00:00,1.84,1.84,2026-09-13T12:04:37Z,1.84,1.84,2026-09-13T14:06:04Z,0.0
M-b7954a7ab1,ATP,male,doubles,"ATP Štětín - antuka, 4hra",2026-09-15T08:00:00+00:00,3.81,1.2,2026-09-13T12:04:37Z,4.52,1.15,2026-09-13T14:06:04Z,18.64
